Date,Era,Tour,Description,Top,Country,City,Venue,Type,Supported By,Supporting,Setlist.fm,Discussion
21.06.2012,The Bones of What You Believe,Shark Week,VIC GALLOWAY PRESENTS…,Top,UK,Edinburgh,Electric Circus,Opener,,"Discopolis, Dead Boy Robotics, Die Hard",https://www.setlist.fm/setlist/chvrches/2012/electric-circus-edinburgh-scotland-73885edd.html,"Acording to https://web.archive.org/web/20120602082745/http://www.theelectriccircus.biz/live-music/ the show is titled ""VIC GALLOWAY PRESENTS…DISCOPOLIS,DEAD BOY ROBOTICS,DIE HARD & SHARK WEEK
Thursday 21st JUN (£4.00)
VIC GALLOWAY PRESENTS…DISCOPOLIS,DEAD BOY ROBOTICS,DIE HARD & SHARK WEEK
MORE INFO
CLICK FOR TICKET"""
23.06.2012,The Bones of What You Believe,Shark Week,,,UK,Dunfermline,Glen Pavilion,,,"The Draymin, Fools Gold, Fridge Magnet"
05.07.2012,The Bones of What You Believe,"CHURCHES debut performance, yo - Announced 11.7.2012",,Top,UK,Glasgow,School of Art,,,,https://www.setlist.fm/setlist/chvrches/2012/glasgow-school-of-art-glasgow-scotland-3cb85b3.html
22.07.2012,The Bones of What You Believe,CHURCHES Edinburgh Gigs,,Top,UK,Edinburgh,Stereo,Co-Headline,,School of Seven Bells,https://www.setlist.fm/setlist/chvrches/2012/stereo-glasgow-scotland-73885ed9.html
18.08.2012,The Bones of What You Believe,,,,UK,London,The Nest,Co-Headline,Treasureseason,Beneath the Beach
22.08.2012,The Bones of What You Believe,CHURCHES Edinburgh Gigs,,,UK,Edinburgh,Electric Circus,Co-Headline,The Twilight Sad DJ Set,,https://www.setlist.fm/setlist/chvrches/2012/electric-circus-edinburgh-scotland-2bd818f6.html
28.08.2012,The Bones of What You Believe,CHURCHES Edinburgh Gigs,,,UK,Edinburgh,Scottish National Portrait Gallery,Headline Show,,,https://www.setlist.fm/setlist/chvrches/2012/scottish-national-portrait-gallery-edinburgh-scotland-73885eed.html
05.11.2012,The Bones of What You Believe,BBC 1 Session,,,UK,London,Maida-Vale Studios,Radio / TV,,,https://www.setlist.fm/setlist/chvrches/2012/maida-vale-studios-london-england-7b885e00.html
